iter	Passed	Remaining
935	1986	135
936	1988	133
937	1990	131
938	1991	129
939	1993	127
940	1994	125
941	1996	122
942	1997	120
943	1998	118
944	2001	116
945	2002	114
946	2006	112
947	2008	110
948	2011	108
949	2013	105
950	2015	103
951	2017	101
952	2018	99
953	2019	97
954	2021	95
955	2022	93
956	2024	90
957	2025	88
958	2030	86
959	2031	84
960	2033	82
961	2035	80
962	2036	78
963	2041	76
964	2043	74
965	2045	71
966	2046	69
967	2047	67
968	2048	65
969	2053	63
970	2054	61
971	2056	59
972	2057	57
973	2058	54
974	2060	52
975	2061	50
976	2062	48
977	2063	46
978	2065	44
979	2066	42
980	2067	40
981	2071	37
982	2079	35
983	2081	33
984	2082	31
985	2084	29
986	2086	27
987	2087	25
988	2089	23
989	2091	21
990	2092	19
991	2094	16
992	2098	14
993	2100	12
994	2101	10
995	2103	8
996	2104	6
997	2105	4
998	2107	2
999	2108	0
